factor_id,family,family_use,best_horizon,direction,rating,primary_use,edge_pct,long_return_pct,edge_win_pct,mean_ic,ic_ir,monotonicity,note
Alpha001,price_volume_corr,volume_price_divergence_and_confirmation,T+5,high_is_better,medium,environment_confirm_or_aux_rank,0.0886,0.6935,55.86,0.029849,8.9715,0.7442,
Alpha002,momentum_reversal,momentum_reversal_or_repair_regime,T+1,low_is_better,watch,monitor_only,0.0192,0.112,51.04,0.012115,1.6139,-0.1193,
Alpha003,momentum_reversal,momentum_reversal_or_repair_regime,T+5,low_is_better,strong,gate_or_rank_candidate,0.3908,0.7682,60.04,-0.044885,-5.8124,-0.7551,
Alpha004,price_volume,liquidity_and_volume_price_strength,T+1,high_is_better,insufficient,do_not_use_until_coverage_fixed,,,,,,,
Alpha005,price_volume_corr,volume_price_divergence_and_confirmation,T+5,high_is_better,strong,gate_or_rank_candidate,0.2618,0.7702,63.18,0.046375,10.993,0.9175,
Alpha006,momentum_reversal,momentum_reversal_or_repair_regime,T+1,high_is_better,insufficient,do_not_use_until_coverage_fixed,,,,,,,
Alpha007,vwap_deviation,cost_deviation_and_intraday_position_proxy,T+3,high_is_better,watch,monitor_only,0.018,0.3507,53.96,0.015922,1.9027,0.109,
Alpha008,vwap_deviation,cost_deviation_and_intraday_position_proxy,T+5,high_is_better,strong,gate_or_rank_candidate,0.3549,0.7341,56.9,0.041467,5.2491,0.6975,
Alpha009,price_volume,liquidity_and_volume_price_strength,T+5,low_is_better,strong,gate_or_rank_candidate,0.3397,0.8011,60.67,-0.040028,-5.3248,-0.8962,
Alpha010,volatility,volatility_and_crowding_risk,T+1,low_is_better,medium,environment_confirm_or_aux_rank,0.0364,0.1254,54.36,-0.040255,-4.9488,-0.5259,
Alpha011,price_volume,liquidity_and_volume_price_strength,T+5,low_is_better,strong,gate_or_rank_candidate,0.29,0.6446,59.62,-0.022158,-3.6947,-0.5489,
Alpha012,vwap_deviation,cost_deviation_and_intraday_position_proxy,T+5,high_is_better,medium,environment_confirm_or_aux_rank,0.1101,0.7329,53.14,0.026753,2.3613,0.9662,
Alpha013,vwap_deviation,cost_deviation_and_intraday_position_proxy,T+5,low_is_better,medium,environment_confirm_or_aux_rank,0.1125,0.7316,53.14,-0.027049,-2.3872,-0.9727,
Alpha014,momentum_reversal,momentum_reversal_or_repair_regime,T+5,low_is_better,strong,gate_or_rank_candidate,0.3569,0.7407,58.16,-0.044142,-5.406,-0.7026,
Alpha015,momentum_reversal,momentum_reversal_or_repair_regime,T+3,high_is_better,strong,gate_or_rank_candidate,0.264,0.5001,64.58,0.021746,3.8276,0.8624,
Alpha016,price_volume_corr,volume_price_divergence_and_confirmation,T+5,high_is_better,strong,gate_or_rank_candidate,0.175,0.7278,60.04,0.044246,10.9604,0.8714,
Alpha017,vwap_deviation,cost_deviation_and_intraday_position_proxy,T+5,high_is_better,strong,gate_or_rank_candidate,0.3009,0.7293,57.53,0.036444,4.5369,0.7372,
Alpha018,momentum_reversal,momentum_reversal_or_repair_regime,T+5,low_is_better,strong,gate_or_rank_candidate,0.4229,0.8173,59.62,-0.052003,-6.4132,-0.8727,
